match_id,date,season,round,team,opponent,is_home,own_score,opp_score,result,tries,tackles_attempted,tackles_made,tackle_success_rate,carries,carry_metres,lineout_throws,lineout_won,lineout_success_rate,scrum_attempts,scrum_won,scrum_success_rate,turnovers_conceded,turnovers_won,penalties_conceded,yellow_cards,red_cards,possession_seconds,line_breaks,entries_22,entries_22_tries
939845,2023-12-09,2024,1,BlackRams Tokyo,Toyota Verblitz,N,8,15,L,1,184,159,0.8641,101,498.0,16,15,0.9375,72,64,0.8889,6,12,17,0,0,923.6,0,7,1
939844,2023-12-09,2024,1,Hanazono Kintetsu Liners,Mitsubishi Sagamihara Dynaboars,N,29,30,L,4,186,160,0.8602,96,575.0,15,12,0.8,55,47,0.8545,10,6,12,0,0,782.0,5,9,4
939846,2023-12-09,2024,1,Kobelco Kobe Steelers,Mie Honda Heat,Y,80,15,W,12,158,144,0.9114,150,1305.0,13,9,0.6923,24,24,1.0,11,9,8,0,0,946.4,11,14,12
939846,2023-12-09,2024,1,Mie Honda Heat,Kobelco Kobe Steelers,N,15,80,L,2,179,139,0.7765,104,808.0,8,6,0.75,72,56,0.7778,9,11,9,2,0,881.4,2,8,2
939844,2023-12-09,2024,1,Mitsubishi Sagamihara Dynaboars,Hanazono Kintetsu Liners,Y,30,29,W,3,121,98,0.8099,132,800.0,15,14,0.9333,40,40,1.0,6,10,10,0,0,1115.2,5,9,3
939848,2023-12-09,2024,1,Shizuoka BlueRevs,Toshiba Brave Lupus Tokyo,N,30,43,L,3,228,186,0.8158,120,929.0,6,4,0.6667,48,48,1.0,10,11,7,0,0,933.5,9,9,3
939848,2023-12-09,2024,1,Toshiba Brave Lupus Tokyo,Shizuoka BlueRevs,Y,43,30,W,7,181,153,0.8453,156,1384.0,12,9,0.75,56,56,1.0,11,10,10,0,0,1222.5,9,9,7
939845,2023-12-09,2024,1,Toyota Verblitz,BlackRams Tokyo,Y,15,8,W,2,124,114,0.9194,119,842.0,15,12,0.8,51,51,1.0,12,6,14,1,0,895.2,5,10,2
939849,2023-12-10,2024,1,Kubota Spears,Tokyo Sungoliath,Y,26,52,L,4,169,139,0.8225,110,791.0,14,14,1.0,40,32,0.8,15,8,4,0,0,765.4,13,9,4
939847,2023-12-10,2024,1,Saitama Wild Knights,Yokohama Canon Eagles,Y,53,12,W,8,188,154,0.8191,124,842.0,9,8,0.8889,72,64,0.8889,6,18,13,0,0,967.4,14,10,8
939849,2023-12-10,2024,1,Tokyo Sungoliath,Kubota Spears,N,52,26,W,8,150,110,0.7333,102,754.0,15,13,0.8667,96,96,1.0,8,15,7,0,0,922.9,14,12,8
939847,2023-12-10,2024,1,Yokohama Canon Eagles,Saitama Wild Knights,N,12,53,L,2,161,123,0.764,141,738.0,15,11,0.7333,48,48,1.0,18,6,6,0,0,1142.8,6,10,2
939852,2023-12-16,2024,2,BlackRams Tokyo,Mitsubishi Sagamihara Dynaboars,Y,17,25,L,2,154,129,0.8377,129,580.0,17,15,0.8824,55,55,1.0,15,12,7,2,0,1041.1,4,7,2
939850,2023-12-16,2024,2,Kubota Spears,Mie Honda Heat,N,75,0,W,11,114,96,0.8421,164,1132.0,18,16,0.8889,72,72,1.0,8,14,7,0,0,1119.2,18,20,11
939850,2023-12-16,2024,2,Mie Honda Heat,Kubota Spears,Y,0,75,L,0,194,151,0.7784,87,543.0,13,10,0.7692,40,32,0.8,14,8,11,0,0,723.9,7,3,0
939852,2023-12-16,2024,2,Mitsubishi Sagamihara Dynaboars,BlackRams Tokyo,N,25,17,W,3,154,130,0.8442,117,740.0,12,12,1.0,56,56,1.0,12,15,13,1,0,976.6,6,9,3
939851,2023-12-16,2024,2,Toyota Verblitz,Yokohama Canon Eagles,N,22,24,L,3,181,159,0.8785,145,867.0,13,11,0.8462,72,72,1.0,15,15,10,0,0,1055.3,7,10,3
939851,2023-12-16,2024,2,Yokohama Canon Eagles,Toyota Verblitz,Y,24,22,W,3,181,135,0.7459,133,820.0,11,10,0.9091,86,86,1.0,15,15,8,1,0,1093.8,8,9,3
