date,region,category,product,amount,quantity
2026-06-01,関東,衣料,Tシャツ,23296,5
2026-06-01,関東,家電,イヤホン,99822,2
2026-06-01,関東,家電,ノートPC,553278,17
2026-06-02,関西,日用品,洗剤,13773,19
2026-06-02,中部,家電,ノートPC,314124,11
2026-06-02,中部,食品,コーヒー豆,3164,4
2026-06-03,九州,家電,スマートフォン,427574,20
2026-06-03,中部,家電,イヤホン,548755,18
2026-06-03,関東,日用品,洗剤,10710,10
2026-06-04,関西,家電,ノートPC,252285,10
2026-06-04,関東,食品,コーヒー豆,13582,9
2026-06-04,九州,衣料,Tシャツ,38068,12
2026-06-04,関西,衣料,靴下,23426,3
2026-06-04,関西,食品,コーヒー豆,17817,13
2026-06-05,関西,衣料,Tシャツ,7427,2
2026-06-05,中部,日用品,ティッシュ,1495,7
2026-06-05,中部,食品,お茶,13748,13
2026-06-05,九州,食品,レトルトカレー,3276,8
2026-06-05,中部,日用品,歯ブラシ,5836,12
2026-06-06,関西,日用品,洗剤,2140,2
2026-06-06,関東,食品,お茶,12289,14
2026-06-06,関東,日用品,ティッシュ,17010,15
2026-06-06,中部,家電,イヤホン,223300,18
2026-06-07,中部,家電,スマートフォン,175161,6
2026-06-07,九州,家電,イヤホン,300605,17
2026-06-07,関西,家電,イヤホン,515334,17
2026-06-07,関西,食品,レトルトカレー,12474,18
2026-06-07,関東,衣料,ジャケット,9290,4
2026-06-08,中部,食品,コーヒー豆,12053,19
2026-06-08,関東,家電,イヤホン,167365,3
2026-06-08,関西,食品,お茶,25205,18
2026-06-08,関西,衣料,靴下,99622,14
2026-06-08,関西,食品,お茶,13413,13
2026-06-09,九州,日用品,洗剤,2536,8
2026-06-09,関東,衣料,Tシャツ,159238,18
2026-06-09,関西,食品,コーヒー豆,979,2
2026-06-09,関西,家電,ノートPC,97858,3
2026-06-09,関西,衣料,靴下,42165,7
2026-06-10,九州,食品,レトルトカレー,5551,7
2026-06-10,関東,家電,イヤホン,608983,12
2026-06-10,九州,日用品,ティッシュ,1517,2
2026-06-10,関東,家電,スマートフォン,169321,4
2026-06-11,関西,食品,お茶,6699,5
2026-06-11,九州,食品,レトルトカレー,6983,8
2026-06-11,関東,日用品,歯ブラシ,840,2
